iso_639_3,fileName,Language,Stock,Stock_coarse,Region,Region_coarse,L1_speakers,L2_speakers,RatioL2,PercL2,LDT,LDTinv,LDTscaled,measure,text,genus_wals,family_wals
sna,udhr_sna.csv,Shona ,Benue-Congo,Benue-Congo,S Africa,S Africa,12379600,1800000,0.145400498,0.127,8.739150129,8.739150129,1.329929507,H,UDHR,Bantoid,Niger-Congo
sna,udhr_sna.csv,Shona ,Benue-Congo,Benue-Congo,S Africa,S Africa,12379600,1800000,0.145400498,0.127,0.536382536,0.536382536,1.277406503,TTR,UDHR,Bantoid,Niger-Congo
ewe,udhr_ewe.csv,Ewe ,Kwa,Other,African Savannah  ,African Savannah  ,3112000,500000,0.16066838,0.138,1.06819657,-0.06819657,-0.749599401,a,UDHR,Kwa,Niger-Congo
ewe,udhr_ewe.csv,Ewe ,Kwa,Other,African Savannah  ,African Savannah  ,3112000,500000,0.16066838,0.138,7.897743097,7.897743097,0.041934255,H,UDHR,Kwa,Niger-Congo
ewe,udhr_ewe.csv,Ewe ,Kwa,Other,African Savannah  ,African Savannah  ,3112000,500000,0.16066838,0.138,0.287124271,0.287124271,-0.637845524,TTR,UDHR,Kwa,Niger-Congo
ron,freqlist_romanian.csv,romanian,Indo-European,Indo-European,Europe,Europe,24808318,4000000,0.161236247,0.138848787,1.156684782,-0.156684782,-0.148416999,a,EPC,Romance,IE
ron,freqlist_romanian.csv,romanian,Indo-European,Indo-European,Europe,Europe,24808318,4000000,0.161236247,0.138848787,10.584594,10.584594,-0.32098574,H,EPC,Romance,IE
ron,freqlist_romanian.csv,romanian,Indo-European,Indo-European,Europe,Europe,24808318,4000000,0.161236247,0.138848787,0.010378367,0.010378367,-0.680620177,TTR,EPC,Romance,IE
ron,zipf_stats_ron-x-bible-corni-v1.txt,corni,Indo-European,Indo-European,Europe,Europe,24808318,4000000,0.161236247,0.138848787,1.332825463,-0.332825463,-0.186292172,a,PBC,Romance,Indo-European
ron,zipf_stats_ron-x-bible-corni-v1.txt,corni,Indo-European,Indo-European,Europe,Europe,24808318,4000000,0.161236247,0.138848787,8.184997321,8.184997321,0.168980831,H,PBC,Romance,Indo-European
